empno,fname,lname,job,mgr,hiredate,sal,comm,dept
1,Chlo,McGarvie,General Manager,19,2016-08-05 04:07:50,167105.34,123517.13,96
2,Alex,Humm,Assistant Media Planner,70,2019-08-14 04:01:21,162370.71,165687.45,51
3,Millard,Thaw,Help Desk Operator,88,2011-06-19 11:28:28,148309.08,141451.56,31
4,Ettie,Lemmen,VP Sales,100,2018-12-01 10:06:37,119891.43,132007.29,91
5,Ertha,Mountney,Staff Accountant III,96,2014-04-17 17:47:15,103030.34,157803.63,21
6,Gigi,Ullyott,Human Resources Assistant IV,94,2020-05-16 22:22:24,165707.14,152263.29,34
7,Missy,Melarkey,Professor,81,2017-05-19 17:07:13,126588.43,144330.49,87
8,Ariela,Hearnden,Professor,18,2018-06-05 14:56:14,155120.69,184813.12,22
9,Case,Segar,Assistant Professor,76,2010-09-03 22:23:21,149778.69,117032.42,95
10,Mitzi,Pavelka,Accounting Assistant III,47,2017-11-15 23:11:35,168856.59,178510.27,83
11,Eugenius,Potier,Junior Executive,64,2019-05-29 17:44:23,109915.41,148203.18,56
12,Elaina,Peeter,Librarian,14,2010-06-19 18:33:28,142686.05,184758.55,12
13,Magdalen,Mandrey,Environmental Tech,100,2014-07-31 06:37:54,155576.67,138971.22,18
14,Meagan,Studders,Statistician IV,66,2013-01-09 23:37:31,163773.23,183454.08,14
15,Hodge,Goodley,Biostatistician III,52,2011-09-06 03:14:09,179935.21,164426.79,78
16,Sofie,Alessandone,Research Assistant I,40,2015-01-28 20:06:07,134579.44,108248.98,79
17,Waldon,Arlidge,Budget/Accounting Analyst IV,90,2013-03-12 22:57:10,132174.22,116355.92,36
18,Vicki,Sundin,Graphic Designer,52,2019-04-05 20:44:01,115436.09,153309.54,85
19,Hamlen,Bedson,Design Engineer,84,2010-11-29 04:31:28,153745.80,101535.63,55
20,Alysa,Frost,Computer Systems Analyst III,71,2013-01-28 05:42:20,174404.22,155601.09,19
21,Myrah,Leivers,Software Consultant,76,2011-11-30 02:05:13,137608.02,151978.16,66
22,Clim,Middlemist,Paralegal,86,2014-01-29 07:01:20,154694.25,108911.01,13
23,Franky,Bartolomeoni,VP Product Management,19,2011-12-24 14:27:38,133554.14,135687.46,69
24,Ray,Zannotelli,Database Administrator IV,35,2018-01-25 13:14:32,182693.29,143485.26,79
25,Adelind,Kaine,Recruiter,66,2019-05-08 07:11:34,164870.37,140141.69,56
26,Norri,Malicki,Graphic Designer,18,2014-12-27 16:54:57,116416.88,164167.10,53
27,Adrien,Defont,Engineer II,28,2014-11-22 08:08:32,138200.26,106744.78,66
28,Orson,Jarrell,Help Desk Operator,96,2019-08-18 21:50:00,146879.29,167311.83,63
29,Corina,Rennicks,Statistician III,85,2018-11-26 06:02:55,152953.77,108051.17,92
30,Raeann,Manser,Administrative Assistant II,26,2014-11-26 01:30:43,108390.00,170307.62,59
31,Town,Backsal,Financial Analyst,28,2019-09-20 04:15:07,117062.04,136556.91,17
32,Alisa,Drews,Sales Representative,42,2017-07-07 08:39:04,172543.66,108161.31,10
33,Bertrand,Nijs,Research Nurse,29,2017-05-22 20:55:59,155093.61,183014.83,95
34,Ainsley,Dullingham,Nuclear Power Engineer,49,2010-11-07 18:08:36,156164.47,124198.69,78
35,Nels,Dowgill,Associate Professor,72,2017-10-18 01:36:19,153890.11,142025.01,78
36,Bing,Nairns,Food Chemist,67,2012-06-25 13:40:01,160308.60,101969.45,14
37,Steffane,Standrin,Occupational Therapist,72,2009-05-29 03:43:29,150422.28,162086.44,54
38,Jordanna,Boarder,Senior Editor,62,2015-05-05 02:49:20,178362.20,171114.49,24
39,Katrine,Twyford,Accountant III,88,2013-01-13 06:20:45,161536.10,167491.75,42
40,Carola,Scholes,Nuclear Power Engineer,64,2010-04-03 06:23:19,167542.99,164728.45,49
41,Quinta,Kaaskooper,Senior Cost Accountant,86,2014-05-19 12:29:46,166230.10,184728.96,94
42,Heywood,Lanceley,Junior Executive,63,2016-08-06 21:38:55,175369.41,163024.74,63
43,Rayner,Youson,Account Representative III,12,2019-12-07 02:37:16,138681.12,151786.06,48
44,Earlie,Weddeburn - Scrimgeour,Staff Scientist,49,2009-06-06 18:13:24,173035.34,109955.75,24
45,Ingra,Ferrant,Senior Developer,30,2013-04-09 00:12:22,103615.46,153278.26,68
46,Audy,Bumfrey,Dental Hygienist,82,2012-10-29 12:54:26,123366.25,181053.24,17
47,Marsh,Yosevitz,Community Outreach Specialist,33,2011-09-30 05:12:22,174739.00,131268.74,71
48,Prescott,Redsall,Senior Quality Engineer,40,2019-02-28 07:56:08,141223.26,140035.58,78
49,Augy,Dronsfield,Administrative Officer,33,2015-01-29 23:16:08,127110.51,157782.02,12
50,Marcelle,Yarwood,Clinical Specialist,84,2017-01-06 21:48:12,168125.96,103563.91,62
